feature,n_obs,test,stat,p_value,is_normal_at_0_05
feed_dobi,335,shapiro,0.9256182684146422,7.330232145106439e-12,False
feed_ffa_pct,335,shapiro,0.9425943193610415,4.1289650259700086e-10,False
feed_mi_pct,335,shapiro,0.9721817923118748,4.7037585815183886e-06,False
feed_iv,335,shapiro,0.9848679014460959,0.0013786509384086027,False
feed_car_pv,335,shapiro,0.8546350963085102,3.9629305778634055e-17,False
feed_p_ppm,335,shapiro,0.9948327824626577,0.3234543786100077,True
rbd_p_ppm,335,shapiro,0.9748636719015921,1.3877928659995609e-05,False
