feature,non_null_count,missing_count,mean,std,min,25%,median,75%,max,skew,kurtosis
acid_dosing_pct,335.0,0,0.06994224444179105,0.005778595733978768,0.06,0.065,0.067,0.075,0.09,1.1738755850576996,1.0654322065664283
bleaching_earth_dosing_pct,335.0,0,1.141127704689552,0.3658536673954617,0.6,0.88375,1.0,1.5,1.97,0.4446382518404421,-1.022510828534914
feed_ffa_pct,335.0,0,4.384054726368159,0.41165984126841926,3.44,4.1,4.277,4.6125,5.785,0.8988069886242255,0.6895268100673921
feed_mi_pct,335.0,0,0.2190460199004975,0.009061594823472251,0.19499999999999998,0.215,0.22,0.225,0.24750000000000003,0.25938992839732783,0.6666510022269314
feed_iv,335.0,0,52.543513308457705,0.26702811238070906,52.0,52.35583333333333,52.559333333333335,52.715,53.349999999999994,0.05622224893717416,-0.4291793956551486
feed_dobi,335.0,0,2.2356585820895525,0.06933875940741098,1.9525000000000001,2.21,2.25,2.28,2.38,-1.2085986089214942,2.4672317823934735
feed_car_pv,335.0,0,457.1325373134329,17.809430303849943,322.0,449.0,458.5,467.5,523.5,-1.9594076773743858,13.129062852435416
feed_p_ppm,335.0,0,28.315649253731344,4.491405407835822,16.5,25.2,28.2,31.05,42.5125,0.19903329615530382,-0.05149688129763286
rbd_ffa_pct,335.0,0,0.06641564490857398,0.0050073585289451385,0.05243269230769239,0.062458333333333296,0.0665,0.0700454545454545,0.08229647435897428,-0.02473536364138422,0.09892909886795254
rbd_mi_pct,335.0,0,0.011802425373134326,0.0006050732878769748,0.009916666666666622,0.0115,0.012,0.012,0.0139999999999999,-0.1437040623175509,-0.07208995337304991
rbd_iv,335.0,0,52.5326776119403,0.34107971480966487,51.76520833333335,52.29333333333334,52.55,52.81,53.38374999999999,-0.15990458637085844,-0.6799980493641788
rbd_pv,335.0,0,5.572139303482567e-05,0.001019868947455215,0.0,0.0,0.0,0.0,0.0186666666666666,18.303005217723143,335.0000000000005
rbd_color,335.0,0,2.1364875104166146,0.17452537260315648,1.6,2.0480769230769234,2.1333333333333337,2.2416666666666667,2.9,-0.15822808595967397,1.504780424622151
rbd_odor,335.0,0,7.976119402985074,0.43708669176652254,0.0,8.0,8.0,8.0,8.0,-18.303005217723104,334.99999999999955
rbd_p_ppm,335.0,0,2.0876492537313434,0.9937763345637668,0.2,1.3,2.2,2.8249999999999997,4.750000000000001,-0.06670787303667544,-0.7478288930993275
log_feed_ffa_pct,335.0,0,1.6806321118573897,0.07443640611533446,1.4906543764441333,1.6292405397302803,1.6633577544235307,1.7249961538625058,1.9147142932868324,0.6922432596678532,0.3436304791082785
log_feed_p_ppm,335.0,0,3.3662624338051934,0.15516775013220643,2.8622008809294686,3.265759410767051,3.374168709274236,3.4672959664678484,3.7730482531375573,-0.2291311194255456,-0.09016429453234398
log_rbd_p_ppm,335.0,0,1.067818803183937,0.3607845297967717,0.18232155679395465,0.832909122935104,1.1631508098056809,1.3415371075160163,1.7491998548092593,-0.655178717941134,-0.5221476998529768
